root             10699  17.4  0.4 435340704  33392   ??  Rs    7:44AM   0:00.14 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
root               103   0.0  0.1 435344928   5264   ??  Ss   Tue08PM   1:04.78 /usr/libexec/configd
root               129   0.0  0.0 435338928   2672   ??  Ss   Tue08PM   0:02.38 /usr/libexec/thermalmonitord
root               144   0.0  0.1 435347904   9440   ??  Ss   Tue08PM   0:54.50 /usr/libexec/dasd
root               157   0.0  0.1 435362288  11920   ??  Ss   Tue08PM   0:14.20 /usr/sbin/bluetoothd
root               116   0.0  0.0 435305872   1776   ??  Ss   Tue08PM   0:00.46 /usr/libexec/watchdogd
root               160   0.0  0.1 435338736   4576   ??  Ss   Tue08PM   0:18.43 /usr/libexec/corebrightnessd --launchd
root               143   0.0  0.0 435301040   1344   ??  Ss   Tue08PM   0:00.04 autofsd
root               151   0.0  0.0 435304752   2080   ??  Ss   Tue08PM   0:00.18 /System/Library/CoreServices/logind
root               123   0.0  0.0 435338880   3616   ??  Ss   Tue08PM   0:02.13 /usr/libexec/diskarbitrationd
root               161   0.0  0.0 435307584   3104   ??  Ss   Tue08PM   0:02.58 /usr/libexec/AirPlayXPCHelper
root               110   0.0  0.0 435338896   1552   ??  Ss   Tue08PM   0:00.21 /usr/libexec/remoted
root               134   0.0  0.1 435418192   6784   ??  Ss   Tue08PM   0:39.87 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root                93   0.0  0.1 435348336   4368   ??  Ss   Tue08PM   0:07.44 /usr/libexec/UserEventAgent (System)
root               145   0.0  0.0 435343408   2256   ??  Ss   Tue08PM   0:00.12 /usr/libexec/corerepaird
root               131   0.0  0.0 435336576   1664   ??  Ss   Tue08PM   0:00.06 /usr/libexec/xprotectd
root               122   0.0  0.0 435342688   2400   ??  Ss   Tue08PM   0:00.93 /usr/libexec/kernelmanagerd
root               262   0.0  0.0 435305488   1664   ??  Ss   Tue08PM   0:00.34 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
root             10701   0.0  0.0 435299600   1744 s006  R+    7:44AM   0:00.00 ps aux
root             10472   0.0  0.0 435305680   1904   ??  Ss    7:39AM   0:00.04 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
root             10471   0.0  0.0 435338640   3360   ??  Ss    7:39AM   0:00.08 /usr/libexec/mobileactivationd
root             10286   0.0  0.0 435338336   4064   ??  Ss    7:27AM   0:00.07 /usr/libexec/powerdatad
root             10269   0.0  0.0 435300928   1680   ??  Ss    7:26AM   0:00.03 /usr/libexec/seputil --daemonize-reseed
root              9258   0.0  0.0 435301056   1760   ??  Ss    7:23AM   0:00.52 /usr/libexec/sysmond
root              9251   0.0  0.0 435305264   2416   ??  Ss    7:22AM   0:00.03 /usr/libexec/keybagd -t 15
root              9240   0.0  0.0 435382816   2720   ??  Ss    7:22AM   0:00.06 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
root              9234   0.0  0.0 435338832   3584   ??  Ss    7:21AM   0:00.08 /usr/libexec/powerexperienced
